college_major	college_major_category
agriculture production	agriculture & natural resources
agriculture management	agriculture & natural resources
agricultural economics	agriculture & natural resources
agricultural science	agriculture & natural resources
agricultural engineering	agriculture & natural resources
agriculture	agriculture & natural resources
animal sciences	agriculture & natural resources
food science	agriculture & natural resources
plant science	agriculture & natural resources
agronomy	agriculture & natural resources
soil science	agriculture & natural resources
forestry	agriculture & natural resources
natural resources management	agriculture & natural resources
natural resources	agriculture & natural resources
fine arts	arts
drama	arts
theater	arts
music	arts
visual arts	arts
performing arts	arts
commercial art	arts
design	arts
graphic design	arts
film studies	arts
photography	arts
studio arts	arts
environmental science	biology & life science
biology	biology & life science
life science	biology & life science
biochemical sciences	biology & life science
botany	biology & life science
molecular biology	biology & life science
ecology	biology & life science
genetics	biology & life science
microbiology	biology & life science
pharmacology	biology & life science
physiology	biology & life science
kinesiology	biology & life science
zoology	biology & life science
neuroscience	biology & life science
cognitive science	biology & life science
biopsychology	biology & life science
administration	business
accounting	business
actuarial science	business
management	business
business management	business
business administration	business
operations logistics	business
e-commerce	business
marketing	business
marketing research	business
finance	business
human resources management	business
human resources	business
personnel management	business
international business	business
hospitality management	business
management information systems 	business
medical administration	business
journalism	communications
mass media	communications
advertising	communications
public relations	communications
communication technologies	computers & mathematics
information systems	computers & mathematics
information technology	computers & mathematics
computing	computers & mathematics
computer systems	computers & mathematics
computer programming	computers & mathematics
data processing	computers & mathematics
computer science	computers & mathematics
information sciences	computers & mathematics
computer administration management	computers & mathematics
computer administration security	computers & mathematics
computer networking	computers & mathematics
telecommunications	computers & mathematics
mathematics	computers & mathematics
applied mathematics	computers & mathematics
statistics	computers & mathematics
decision science	computers & mathematics
teaching	education
educational administration	education
educational supervision	education
school student counseling	education
elementary education	education
adult education	education
mathematics teacher education	education
physical education teaching	education
health education teaching	education
early childhood education	education
science teacher education	education
computer teacher education	education
secondary teacher education	education
special needs education	education
history teacher education	education
social science teacher education	education
language education	education
drama education	education
music education	education
art education	education
library science	education
architecture	engineering
aerospace engineering	engineering
aeronautical engineering	engineering
biological engineering	engineering
architectural engineering	engineering
biomedical engineering	engineering
chemical engineering	engineering
civil engineering	engineering
computer engineering	engineering
electrical engineering	engineering
environmental engineering	engineering
geological engineering	engineering
geophysical engineering	engineering
industrial engineering	engineering
manufacturing engineering	engineering
materials engineering	engineering
mechanical engineering	engineering
metallurgical engineering	engineering
mining engineering	engineering
mineral engineering	engineering
naval architecture	engineering
marine engineering	engineering
nuclear engineering	engineering
petroleum engineering	engineering
engineering technologies	engineering
engineering management	engineering
industrial management	engineering
electrical engineering technology	engineering
industrial production technologies	engineering
mechanical engineering related technologies	engineering
materials science	engineering
medicine	health
dentistry	health
nutrition sciences	health
health services	health
medical services	health
communication disorders sciences	health
communication disorders services	health
medical administrative services	health
health administrative services	health
medical assisting services	health
medical technologies technicians	health
health preparatory programs	health
medical preparatory programs	health
nursing	health
pharmacy	health
treatment therapy professions	health
community health	health
public health	health
health medical professions	health
area ethnic studies	humanities & liberal arts
civilization studies	humanities & liberal arts
comparative language	humanities & liberal arts
linguistics 	humanities & liberal arts
foreign languages	humanities & liberal arts
english	humanities & liberal arts
literature	humanities & liberal arts
composition	humanities & liberal arts
rhetoric	humanities & liberal arts
liberal arts	humanities & liberal arts
humanities	humanities & liberal arts
intercultural studies	humanities & liberal arts
international studies	humanities & liberal arts
philosophy	humanities & liberal arts
religious studies	humanities & liberal arts
theology	humanities & liberal arts
religious vocations	humanities & liberal arts
anthropology	humanities & liberal arts
archeology	humanities & liberal arts
art history	humanities & liberal arts
art criticism	humanities & liberal arts
history	humanities & liberal arts
industrial arts	industrial arts & consumer services
consumer services	industrial arts & consumer services
cosmetology services	industrial arts & consumer services
culinary arts	industrial arts & consumer services
family sciences	industrial arts & consumer services
consumer sciences	industrial arts & consumer services
military technologies	industrial arts & consumer services
physical fitness parks	industrial arts & consumer services
recreation	industrial arts & consumer services
leisure	industrial arts & consumer services
construction services	industrial arts & consumer services
electrical technologies	industrial arts & consumer services
electrical production	industrial arts & consumer services
mechanical technologies	industrial arts & consumer services
mechanical production	industrial arts & consumer services
precision technologies	industrial arts & consumer services
precision production	industrial arts & consumer services
transportation technologies	industrial arts & consumer services
transportation sciences	industrial arts & consumer services
court reporting	law & public policy
law	law & public policy
legal studies	law & public policy
criminal justice	law & public policy
fire protection	law & public policy
public administration	law & public policy
public policy	law & public policy
physical sciences	physical sciences
astronomy	physical sciences
astrophysics	physical sciences
atmospheric sciences	physical sciences
meteorology	physical sciences
chemistry	physical sciences
geology	physical sciences
earth science	physical sciences
geosciences	physical sciences
oceanography	physical sciences
physics	physical sciences
nuclear technologies	physical sciences
industrial technologies	physical sciences
radiology technologies	physical sciences
biological technologies	physical sciences
science	physical sciences
psychology	psychology & social work
educational psychology	psychology & social work
clinical psychology	psychology & social work
counseling	psychology & social work
industrial psychology	psychology & social work
organizational psychology	psychology & social work
social psychology	psychology & social work
human services	psychology & social work
community organization	psychology & social work
social work	psychology & social work
interdisciplinary social sciences	social science
economics	social science
criminology	social science
geography	social science
international relations	social science
political science	social science
government	social science
sociology	social science
